BLDG_UID,NAME,BLDG_CODE,CONSTR_STATUS,OCCU_DATE,BLDG_USAGE,BLDG_SEC_USAGE,JURISDICTION,NEIGHBOURHOOD,MANAGE_ORG,BLDG_STATE,GREEN_STATUS,CONSTR_TYPE,MAX_FLOORS,BLDG_HEIGHT,GBA,REC_IDS,HAS_SUBBLDGS,GEOM_SOURCE,NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,BLDG_FORM,BLDG_CONDITION,ACCESSIBILITY_RATING,BLDG_MAINTENANCE,BLDG_CLASS,PROPERTY_TYPE,LAT,LONG
VBL10013,"Orchard Commons - Vantage College, Bartlett/Braeburn House",ORCH,Complete,20160715,Commons,,UBC,Academic,SHHS,Occupied,LEED Gold,Concrete,20,30.50868,41023,557,1,,GBA from OSIS,,,RACHELW,20230110181248,Apt5StoreyPlus,Good,,UBC,B5,,-123.251329,49.260462
VBL10105,Totem Park Residence - c̓əsnaʔəm House,TPR7,Complete,20170720,StudentHousing,,UBC,Academic,SHHS,Occupied,LEED Gold,Concrete,8,19.26,8862,541,0,,,GISSTUD2,20190514211922,RACHELW,20230110181312,Apt5StoreyPlus,Good,,UBC,B5,,-123.251637,49.256811
VBL10169,Pacific,PACC,Complete,20091113,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold,Wood,6,17.3,7802,699,0,,new GBA taken from spreadsheet,,,RACHELW,20230110181313,AptLess5Storey,,,,B5,,-123.234987,49.253278
VBL10237,UBC Baseball Rose Indoor Training Centre,BTC,Complete,20150804,Athletics,,UBC,Academic,Athletics,Occupied,,Wood,2,9.83845,1224,862,0,,,,,RACHELW,20230110181315,Unspecified,Good,,UBC,B2,,-123.239512,49.256214
VBL10345,Virtuoso,VIRT,Complete,20180125,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold,Wood,8,25.76,10925,718,0,,,RACHELW,20180528180304,RACHELW,20230110181315,Apt5StoreyPlus,,,,B5,,-123.233967,49.250732
VBL10356,Central,CNTL,Complete,20170529,Housing,Commercial,UNA,UBlvd,UBCPT,Occupied,REAP Gold Plus,Concrete,7,21.51,7306,215,0,,new GBA taken from spreadsheet,PLAN,20170914214629,RACHELW,20230110181318,Unspecified,,,,B5,LeasedFromUBC,-123.247223,49.266336
VBL10170,Village Square,VSQU,Complete,20170808,Housing,Commercial,UNA,Wesbrook,UBCPT,Occupied,REAP Gold,Wood,8,22.07,10013,691,0,,new GBA taken from spreadsheet,PLAN,20170914214526,RACHELW,20230110181319,Apt5StoreyPlus,,,,B5,,-123.236379,49.25396
VBL10171,Webber House,WEBH,Complete,20170512,Housing,,UNA,Wesbrook,UBCPT,Occupied,REAP Gold,Wood,8,19.66,4256,693,0,,new GBA taken from spreadsheet,,,RACHELW,20230110181319,Apt5StoreyPlus,,,,B5,,-123.236801,49.25329
VBL10212,Brock Commons East - Tallwood House,BRCE,Complete,20160518,Commons,,UBC,Academic,SHHS,Occupied,LEED Gold,Wood,18,56.18,15115,114,0,,new GBA taken from spreadsheet,PLAN,20170914214914,RACHELW,20230110181320,Apt5StoreyPlus,Good,,UBC,B5,,-123.251314,49.26951
VBL10310,Ponderosa Commons West - Arbutus/Maple House,PCW,Complete,20130830,Commons,,UBC,Academic,SHHS,Occupied,LEED Gold,Steel,17,42.83,17885,904,1,,,,,RACHELW,20230110181321,Apt5StoreyPlus,Good,,UBC,B5,,-123.25562,49.263441
VBL10082,"Food, Nutrition and Health Building",FNH,Complete,20051223,Academic,,UBC,Academic,UBC,Occupied,,Concrete,4,16.29,4292,449;449-1,1,,,,,RACHELW,20230106234346,Unspecified,Poor,,UBC,B2,,-123.249744,49.264014
VBL10274,Child Care Services - Little Goslings/Coho,CCS3,Complete,19890101,Services,,UBC,Academic,SHHS,Occupied,,Wood,1,6.4617,319,203,1,,,GISSTUD2,20190514224753,RACHELW,20230110211658,Unspecified,Poor,,UBC,B2,,-123.234048,49.25992
VBL10275,Child Care Services - Little Raven/Pacific Spirit,CCS4,Complete,19890101,Services,,UBC,Academic,SHHS,Occupied,,Wood,1,5.86,482,204,1,,,GISSTUD2,20190514224825,RACHELW,20230110211658,Unspecified,Poor,,UBC,B2,,-123.233802,49.260216
